InterfaceUID,InterfaceParentInterfaceUID,InterfaceMachineUID,InterfaceIP,InterfaceMAC,InterfaceNetworkUID,InterfaceDNSName,InterfaceSwitchNumber,InterfaceSwitchPosition,InterfaceNote,InterfacePreffered
N'ba0134be-f84e-4cca-83ef-4aa557f49416',NULL,N'138cd468-376f-4d84-a7a4-532fa5f1dab3',N'172.16.1.23',N'00:30:48:C6:49:4A',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix23',N'swL051',N'23',NULL,NULL
N'bc149e0c-5669-4d9b-8a80-58fcd11f1b15',NULL,N'49c5e44b-5bce-43b0-b112-36c6dad3da4d',N'172.16.2.83',N'00:1F:C6:D9:46:90',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis83',N'swL102',N'41',NULL,NULL
N'bd4ef09e-edb8-4b8d-a380-a5bc6723b0ba',NULL,N'934f5517-a61b-4408-bf0a-bd78976405ea',N'172.16.2.23',N'00:1F:C6:D9:46:4A',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis23',N'swL101',N'23',NULL,NULL
N'bd50e660-1ab2-40be-8786-439e78c7363e',N'                                    ',N'0c6a1b31-0260-4c83-b12f-5ed75179283f',N'147.231.25.112',N'00:18:71:E7:69:64',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias112',N'swL083',N'13',NULL,NULL
N'bda364ab-7be7-4e09-86b5-f95ce53244f2',NULL,N'20da718f-cb5b-439e-8050-a65c40e4a4c5',N'172.16.6.41',N'E4:1F:13:22:79:26',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis41',N'swL112',N'9',NULL,NULL
N'bdac55e8-1134-40f2-a7ad-1e782ed582d6',NULL,N'660aef56-9484-40e0-aa49-0c21fa88297c',N'147.231.25.28',N'00:c0:dd:11:1e:ec',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'dpmpool5',N'swL012',N'8',NULL,NULL
N'be0a5367-b0b9-49db-824d-d8f9bbddfb8a',NULL,N'baaf16d3-2d97-448f-93a1-bf916fc523bf',N'147.231.25.229',N'00:10:18:4a:37:f8',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'backup',N'swR081',N'31',NULL,NULL
N'be54de6e-e427-42a7-b018-20987f03e8a5',NULL,N'6b392497-bb81-4fae-9c31-9e6198a3440b',N'172.16.6.19',N'E4:1F:13:22:7A:E8',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis19',N'swL111',N'19',NULL,NULL
N'becefca0-6b16-4930-9b71-cd2f589bb1d0',N'                                    ',N'43e84587-6b48-40d1-999e-661b3854848c',N'147.231.25.165',N'00:23:7D:3C:C1:5C',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias165',N'swR051',N'7',NULL,NULL
N'bef4bb6e-fd26-4351-88b7-a68ebc3a1dd4',NULL,N'13c5a6d8-504a-42b1-a036-0469ca5d00f2',N'172.16.6.59',N'E4:1F:13:22:7E:54',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis59',N'swL112',N'27',NULL,NULL
N'bf5a531b-2861-435b-b292-35bf35ff5348',NULL,N'7ea53f67-8484-49c1-b497-4a6fc6a26241',N'10.26.202.29',N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'apollo7.fzu.cz',NULL,NULL,NULL,NULL
N'c11c7bcb-925b-4100-a66a-b24d1974febb',NULL,N'37ab5ece-3ebc-477a-a252-39cbea32cf57',N'172.16.2.33',N'00:1F:C6:DA:1A:D0',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis33',N'swL101',N'33',NULL,NULL
N'c1af3af3-1928-4dcb-96af-3e43986e599b',N'                                    ',N'6bfb066d-08d0-4265-8027-e46d96608f40',N'147.231.25.232',N'00:30:6e:13:41:0b',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'prak2',N'sw010',N'12',NULL,NULL
N'c20de093-1e93-44c5-b877-ac82b1555a3c',NULL,N'6ace08a6-b86e-40a6-aefa-89ded63a5333',N'172.16.6.54',N'E4:1F:13:22:41:DC',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis54',N'swL112',N'22',NULL,NULL
N'c3162e05-c118-4291-bab7-1d14da5dbc83',NULL,N'1b85fa14-bd43-49aa-bca6-d5200405d7da',N'192.168.252.22',N'00:05:1e:8b:e7:42',N'12001c79-93a2-43c4-9833-59ec442f436c',N'fcswL022.monitor',NULL,NULL,NULL,NULL
N'c3fbba79-c76b-4489-be6f-a57d48182ff1',N'                                    ',N'687b2129-9967-4190-b410-9fc5f60f0819',N'172.16.4.27',N'00:0F:20:7A:18:36',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum27',N'swL041',N'21',NULL,NULL
N'c41eb10f-e3e5-4a56-a366-ebddc7dc9401',NULL,N'6299b008-f147-4670-ba7f-e7d609cee56c',N'192.168.2.216',N'00:04:02:fc:56:84',N'12001c79-93a2-43c4-9833-59ec442f436c',N'satabeast2-2.monitor',N'swL031',N'14',NULL,NULL
N'c44eed71-7564-4786-82e0-e026aa7934cb',N'                                    ',N'a1a7dc10-454c-46c5-91b2-8041b8a3bb57',N'172.16.4.18',N'00:0f:20:7a:e7:8a',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum18',N'swL041',N'13',NULL,NULL
N'c52a01f6-34fe-407a-b2a7-a6b958e40db0',NULL,N'6e303370-8c21-4c3a-b6df-b3bf1e38d6ef',N'172.16.6.43',N'E4:1F:13:22:69:78',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis43',N'swL112',N'11',NULL,NULL
N'c59978fe-484e-49ef-b1c7-193206413428',NULL,N'595270f5-15d2-4f3f-8074-a3f11e05b0b9',N'10.26.202.32',N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'space.fzu.cz',NULL,NULL,NULL,NULL
N'c6206c00-6a2f-479d-a1c4-ff633e03c1f8',N'                                    ',N'e8a23846-dde6-4638-8181-52dfe1e37446',N'172.16.4.2',N'00:0f:20:7a:a7:de',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum02',N'swL031',N'38',NULL,NULL
N'c6d4e3bf-f03b-40af-ba98-1a091ec5ff9f',NULL,N'58d7d363-e39d-49cf-a344-86cb49dfcaa3',N'172.16.2.18',N'00:1F:C6:D9:46:C2',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'iberis18',N'swL101',N'18',NULL,NULL
N'c74e5e31-5c0b-4363-bc7f-eb366bff6165',NULL,N'ef569a80-5d5e-4c6e-95cb-2ab4435c6950',N'172.16.5.10',N'00:30:48:C9:55:F2',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'saltix10',N'swL052',N'3',NULL,NULL
N'c8dc3a09-e9e7-4310-b918-c1d3dc336e36',NULL,N'842a65e3-5999-4ac0-a90f-764e96a31bf3',N'172.16.2.2',N'00:1F:C6:DA:1A:4E',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'iberis02',N'swL101',N'2',NULL,NULL
N'c8f059b9-5ef1-48ab-9fab-ec486244d001',NULL,N'bae91f5e-04c1-4e3c-864e-b65aa5752ba1',N'10.26.202.53',N'00:23:7d:3b:07:46',N'3a9e668d-e858-47c0-9998-3c9846838134',N'orion.fzu.cz',NULL,NULL,NULL,NULL
N'ca0c0948-7ff7-42cc-a271-2bd6e29ba9f6',NULL,N'6ba63d7b-dff3-421c-8b95-569d68bf1116',N'172.16.2.76',N'00:1F:C6:DA:1C:90',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis76',N'swL102',N'34',NULL,NULL
N'ca645c49-d600-4cc4-89d0-4c7566af3d90',NULL,N'0bb5970a-8e47-4ee2-a4da-5564b3a2d777',N'172.16.1.34',N'00:30:48:C6:A8:C2',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix34',N'swL051',N'34',NULL,NULL
N'cb199837-382c-48f2-b569-e620a51d4294',NULL,N'4f88eb23-0eaf-42f4-b142-f6692b1063b0',N'172.16.2.62',N'00:1F:C6:DA:1D:40',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis62',N'swL102',N'20',NULL,NULL
N'cb56abb2-1ad1-4e9e-862e-7e112efd7796',N'                                    ',N'69b35fc3-eb0b-421e-ba82-c6e763215ef7',N'147.231.25.8',N'00:30:6e:2c:6d:5e',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias08',N'sw013',N'8',NULL,NULL
N'cb92881e-2bec-41a9-8a0b-b8fa0e0c120c',NULL,N'c535bf87-273f-4d2c-abb6-1e7a41b7624e',N'10.26.202.25',N'00:09:3D:10:0A:C1',N'3a9e668d-e858-47c0-9998-3c9846838134',N'thsun11.fzu.cz',NULL,NULL,NULL,1
N'cc75caac-5485-4161-82fe-9075f750c615',NULL,N'4a0cc538-957f-4253-a7b9-f690641f047e',N'172.16.7.5',N'e4:1f:13:ef:0b:d6',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'ib05',N'swL111',N'40',NULL,NULL
N'ccd1e0a4-a8a1-4959-bdb3-30bf4d39caee',NULL,N'91b71640-1f19-4ed7-b62d-810c019b44c0',N'172.16.5.6',N'00:30:48:C9:55:F6',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'saltix06',N'swL051',N'46',NULL,NULL
N'cd46cff7-9dba-48fd-96ed-47d05a16a6bf',NULL,N'1e8a5165-5aa1-4cc9-adbf-c67d3cb4e77e',N'172.16.6.25',N'E4:1F:13:22:80:70',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis25',N'swL111',N'25',NULL,NULL
N'cd6e58a5-c8ed-400a-be79-b00eca3ef2be',N'                                    ',N'950a00d1-9d18-48d7-a289-78266c0d8247',N'172.16.4.42',N'00:0f:20:7a:e7:fe',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum42',N'swL041',N'36',NULL,NULL
N'cd75bcaf-142e-473d-a38f-edb4589a4b2c',NULL,N'2fb0fa6d-d595-4697-b365-105cfff772b6',N'172.16.1.5',N'00:30:48:C5:15:C2',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix05',N'swL051',N'5',NULL,NULL
N'ce870af2-d764-414e-9485-43da7ddff4e1',NULL,N'e6e5209b-625a-4a6e-accb-7175cdb4c776',N'172.16.6.36',N'E4:1F:13:22:65:04',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis36',N'swL112',N'4',NULL,NULL
N'd0445672-ed1b-4c8d-a983-dcca6c1e5f02',NULL,N'ef59d91b-09fd-47ae-85b9-7a05ab5b9188',N'147.231.25.237',N'00:23:7D:35:1D:58',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ha3',N'swL071',N'18',NULL,NULL
N'd074fac8-3676-4025-9ef3-31d0134a1ad5',N'                                    ',N'5a5f6e59-c569-4fcb-b965-c1d424813579',N'147.231.25.106',N'00:16:35:3A:22:A9',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias106',N'swL083',N'2',NULL,NULL
N'd0b63b58-6278-40dc-b790-8d565d087d37',NULL,N'efb4b254-7a3c-432d-8201-84b7dcfae180',N'147.231.25.50',N'00:25:90:0e:73:12',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'dpmpool12',N'swL012',N'15',NULL,NULL
N'd17cb4d9-299e-49ee-ad84-95810c4b87d4',NULL,N'0521b701-d3ef-450c-a34e-b1e579aff665',N'172.16.6.33',N'E4:1F:13:22:79:FE',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis33',N'swL112',N'1',NULL,NULL
N'd1c533c7-c4d5-4255-bcef-d4df023dd03b',NULL,N'6d8e0655-af00-4b24-acc2-8fe5bbd560c3',N'172.16.2.55',N'00:1F:C6:D9:48:7E',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis55',N'swL102',N'13',NULL,NULL
N'd32824b8-8de8-485d-9bba-5b9100eb1121',N'                                    ',N'49759962-bb23-4dc6-a6bc-c535685b280d',N'172.16.4.29',N'00:0F:20:7A:18:5A',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum29',N'swL041',N'23',NULL,NULL
N'd3c575e2-7895-456e-93e9-6738ab2101ad',NULL,N'baaf16d3-2d97-448f-93a1-bf916fc523bf',N'147.231.25.229',N'00:10:18:4a:37:f8',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'backup',N'swR081',N'30',NULL,NULL
N'd3f5ffe0-8fb0-4ca0-9a76-d5f3bab68b4f',NULL,N'c2c3881e-c4dd-435c-9716-a9846984a546',N'192.168.2.200',N'00:50:cc:13:0e:b5',N'12001c79-93a2-43c4-9833-59ec442f436c',N'ultamus4800down-1.monitor',N'swR081',N'18',NULL,NULL
N'd47f322b-cf9c-49bd-813e-a8b9f4896c3f',N'                                    ',N'5c97ada6-7fa1-4d3c-ac24-e2bb6546011b',N'147.231.25.5',N'00:0E:0C:B9:ED:2C',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'torque',N'sw253',N'3/43',NULL,NULL
N'd4a1c1dc-b23f-47c0-9547-1f71aec4e735',N'                                    ',N'8b386035-00ca-4cef-bd44-a15cd5f57559',N'172.16.4.55',N'00:12:79:3a:b3:d1',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum55',N'swL071',N'19',NULL,NULL
N'd4c1b502-fea8-4c16-90e1-96e66258d5e2',NULL,N'84f1413e-65fc-422c-bf33-2b1832b1261f',N'192.168.2.202',N'00:50:cc:13:0e:a6',N'12001c79-93a2-43c4-9833-59ec442f436c',N'ultamus4800up-1.monitor',N'swR081',N'12',NULL,NULL
N'd4f702ff-1e83-4b2e-af86-5a87889489dd',NULL,N'6bf41425-62a8-4b41-895e-4971dad15dd6',N'172.16.2.38',N'00:1F:C6:D9:46:D0',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis38',N'swL101',N'38',NULL,NULL
N'd608e9e9-5523-43b3-929b-49f9803cbc1d',N'                                    ',N'8bad314b-2e37-4fe9-8f08-c9893529cbeb',N'147.231.25.25',N'00:30:6e:2c:6a:1c',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias25',N'sw009',N'H16',NULL,NULL
N'd63e1121-1b9a-411e-b472-269dc909bfce',NULL,N'ce539412-58ab-4e19-8623-7093325e0ca6',N'172.16.7.11',N'e4:1f:13:ef:31:da',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'ib11',N'swL112',N'40',NULL,NULL
N'd6b542e7-483d-4940-8ca5-97e27e667988',N'                                    ',N'9706f12f-c590-4c56-b749-327c42476bb9',N'147.231.25.114',N'00:17:A4:8D:30:B1',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias114',N'swL083',N'8',NULL,NULL
N'd70d923e-b7eb-4732-a733-a36d8e1e376b',NULL,N'b5720442-9d36-4649-9185-f513c01e19d5',N'172.16.2.26',N'00:1F:C6:D9:4C:52',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis26',N'swL101',N'26',NULL,NULL
N'd7c4d17a-acbc-4b3a-8060-f65907605df5',NULL,N'46a941b9-dd5b-45fc-a15b-77cb696b9e96',N'147.231.26.186',N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'maia.fzu.cz',N'swL071',N'29',NULL,NULL
N'd81962e9-81e8-44b3-902d-df33b535b0b3',NULL,N'4324149e-0c68-4ee1-80ba-99806418096f',N'172.16.2.39',N'00:1F:C6:DA:15:40',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis39',N'swL101',N'39',NULL,NULL
N'd8ae8d06-ea6e-4aaa-b7e7-38a36702d726',NULL,N'6ef919cf-c217-4df7-87e7-d79a547fcacb',N'147.231.27.53',N'00:11:43:D3:6F:3D',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'zalozak-s',NULL,NULL,NULL,NULL
N'dabc7f98-adfc-450a-931e-62c98b38c2d3',NULL,N'972a12a7-7b84-47b1-b7ce-0c452cac85a9',N'172.16.2.63',N'00:1F:C6:DA:1D:2C',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis63',N'swL102',N'21',NULL,NULL
N'db92b5c3-f730-4d8a-8098-864d3fb01e8c',NULL,N'63fe61fa-57bb-468b-b7a0-a23bfa0b77ca',N'10.26.202.11',N'00:09:3D:12:1B:32',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'thsun22.fzu.cz',NULL,NULL,NULL,NULL
N'db9e89aa-c2cf-4590-98b4-d68846b2a7a4',N'                                    ',N'928a0ee4-2178-4b90-82b7-bf3cb23bf8a8',N'172.16.4.53',N'00:12:79:3a:d3:01',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum53',N'swL071',N'17',NULL,NULL
N'dcae16a8-c1fc-4f5d-9bfd-622e8f9dcd8e',N'                                    ',N'02d3c3c0-01fb-4123-a871-54c1d6d22077',N'172.16.4.59',N'00:12:79:3a:42:bd',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum59',N'swL071',N'23',NULL,NULL
N'dce543cb-12dd-49b1-a131-3a0e65aa392e',N'                                    ',N'40450248-7283-4455-85bc-8422fdd9f41d',N'147.231.25.102',N'00:15:60:A7:6E:82',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias102',N'swL083',N'3',NULL,NULL
N'dcf7f896-b584-487f-b3cb-ac56a4c53899',NULL,N'6299b008-f147-4670-ba7f-e7d609cee56c',N'192.168.2.215',N'00:04:02:fc:56:86',N'12001c79-93a2-43c4-9833-59ec442f436c',N'satabeast2-1.monitor',N'swL031',N'13',NULL,NULL
N'dd2af8dd-ddb2-4c81-bfa0-0b27631624c6',NULL,N'b8fb88f5-7cdd-4a76-9858-a04c7b75b2a8',N'172.16.6.53',N'E4:1F:13:22:62:46',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis53',N'swL112',N'21',NULL,NULL
N'de2ebd20-2c87-451f-bc2b-1d00fa7a4d15',N'                                    ',N'1016ed49-a407-4d7b-91c7-b514f907ccec',N'172.16.4.49',N'00:12:79:3a:d3:05',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum49',N'swL071',N'13',NULL,NULL
N'de5a8620-ebe5-41ee-98d8-9beb3ac3a47d',NULL,N'1d37790f-4dcd-43c3-8e50-ab11ab02fd30',N'172.16.1.15',N'00:30:48:C6:49:38',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix15',N'swL051',N'15',NULL,NULL
N'de73159e-f7ba-45c1-93b4-fd43512745a1',NULL,N'b26e4bb0-b2a0-46f1-b311-02d78f8c2846',N'172.16.5.12',N'00:30:48:CA:A9:82',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'saltix12',N'swL052',N'5',NULL,NULL
N'df21fbc2-e837-4710-951c-5c96abaf5fba',NULL,N'0a745ba9-3a3b-4bdb-acde-f717c403fa8f',N'10.26.202.3',N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'apollo2.fzu.cz',NULL,NULL,NULL,NULL
N'df393d8c-3572-4645-a2d9-ba5975ab1cd2',N'                                    ',N'92e61b95-1cd9-4fb3-8c06-be6b5f55fd71',N'147.231.25.2',N'00:30:6e:2c:4c:00',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias02',N'sw013',N'2',NULL,NULL
N'df9c0f8d-8b55-47ba-9166-f1130a84c873',N'                                    ',N'343d0260-c644-4c7b-9b77-b3056bfb6413',N'147.231.25.121',N'00:18:71:E7:A8:41',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias121',N'swL082',N'9',NULL,NULL
N'e0be0e89-7ea9-4c1f-824c-d0655723ff00',NULL,N'e7285e48-106f-4f63-92bf-628a4061efbc',N'172.16.7.1',N'e4:1f:13:ef:29:10',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'ib01',N'swL111',N'44',NULL,NULL
N'e110884b-bdb6-427d-9c94-cc23c4ce0494',N'                                    ',N'85695ce9-835c-407c-aa5c-0a5f8065f092',N'172.16.4.26',N'00:0F:20:7A:E7:6A',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum26',N'swL041',N'20',NULL,NULL
N'e117d569-78a7-409c-8631-28b82231bd25',N'                                    ',N'2002f62e-089b-42b6-a3c2-c157cb067de6',N'172.16.4.3',N'00:0f:20:7a:e7:a4',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum03',N'swL031',N'39',NULL,NULL
N'e20a99e6-e361-47d7-8fac-8d3cb01e25aa',N'                                    ',N'51d2fe6f-1282-4b76-ac01-978e606e4bcb',N'172.16.4.28',N'00:0F:20:7A:E7:94',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'hypericum28',N'swL041',N'22',NULL,NULL
N'e27b36e1-b099-44e4-a709-7e279e4d06e9',NULL,N'dcfe9e3b-72e8-40b1-9af2-b94d64dfb05a',N'172.16.2.15',N'00:1F:C6:DA:1A:94',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis15',N'swL101',N'15',NULL,NULL
N'e2867cfb-bb64-40e2-8f38-9cb34176f508',NULL,N'1e7821c2-f73f-40a4-a1c3-0fe44af0bba3',NULL,N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'SB 03-1',NULL,NULL,NULL,NULL
N'e2fecf0c-114f-4ea8-b9f7-62edf53c0a15',NULL,N'05877c52-80e4-45db-80fa-3bce4db44e20',N'10.26.202.4',N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'apollo3.fzu.cz',NULL,NULL,NULL,NULL
N'e34d7c83-512c-49df-bc64-e2a5ff3d41ec',NULL,N'10bbc2ad-7eb9-44e6-aec7-7110883fe25d',N'172.16.2.66',N'00:1F:C6:DA:1B:6A',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis66',N'swL102',N'24',NULL,NULL
N'e37b6af8-05cf-4d68-bf14-48bc3f1596bf',NULL,N'30e99ed5-9753-404b-a031-1225b5033c65',N'192.168.253.81',N'00:05:1e:5c:12:5b',N'12001c79-93a2-43c4-9833-59ec442f436c',N'fcswR081.monitor',N'swR081',N'14',NULL,NULL
N'e3ddb2be-9cb4-4d4f-8552-efd17946e3b0',NULL,N'd4743867-5ba4-488e-9cec-ab0a2fec282b',N'172.16.6.20',N'E4:1F:13:22:7E:48',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis20',N'swL111',N'20',NULL,NULL
N'e4077b8a-d8b0-439d-aab0-878aacfced8f',NULL,N'978c9aad-2306-4a29-b364-3581b734644a',N'172.16.2.1',N'00:1F:C6:D9:46:8A',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'iberis01',N'swL101',N'1',NULL,NULL
N'e4969e87-4128-42cb-83e9-1b87e01d237d',NULL,N'ea82d1cb-d4bb-448c-a835-bf75e0d76311',N'192.168.2.213',N'00:04:02:fc:56:85',N'12001c79-93a2-43c4-9833-59ec442f436c',N'satabeast1-1.monitor',N'swL031',N'11',NULL,NULL
N'e4c5dfbd-9fcf-45dc-9262-a35cc18a3024',N'                                    ',N'7ec5adb4-6afa-43d4-bff7-adc37e60d0b1',N'147.231.25.23',N'00:30:6e:2c:59:d4',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias23',N'sw009',N'H14',NULL,NULL
N'e4cd18e7-b87c-47e5-8423-1d4014af1ba2',NULL,N'31e8766e-cce2-4ccc-8068-f2e72bce163b',N'192.168.2.212',N'00:01:55:40:55:23',N'12001c79-93a2-43c4-9833-59ec442f436c',N'se4array.monitor',N'swR081',N'16',NULL,NULL
N'e4f23beb-7b22-414c-b9bb-890ad5ff06e6',NULL,N'4c2b936b-ba1f-4d75-a011-9bb82f8f8979',N'172.16.6.60',N'E4:1F:13:22:7B:CC',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis60',N'swL112',N'28',NULL,NULL
N'e4fa4cd3-13c0-45e9-8adf-8a0b5121ea7d',NULL,N'9727c659-4369-449a-a530-8240f1dccd7b',N'147.231.26.54',N'00:14:C2:61:71:F3',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'samson.fzu.cz',N'sw253',N'3/21',NULL,NULL
N'e56d44f1-972c-4c46-8a84-4a550f0b5e29',NULL,N'b663ca6a-c1d9-4095-a324-a546a4d42942',N'172.16.5.3',N'00:30:48:C9:4D:14',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'saltix03',N'swL051',N'43',NULL,NULL
N'e5917fe2-3295-405c-bba9-6e17b4eda106',NULL,N'8e09ef7c-f125-442e-82d3-4769e58007e9',N'172.16.6.39',N'E4:1F:13:22:71:64',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis39',N'swL112',N'7',NULL,NULL
N'e6e3e608-2004-45d1-af27-88c44c016c86',NULL,N'036fd183-fd65-46bb-8df3-42699959b61d',N'172.16.2.58',N'00:1F:C6:D9:4D:72',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis58',N'swL102',N'16',NULL,NULL
N'e8061aac-5140-4210-a2b2-c3c052bfdbb2',N'                                    ',N'9b723904-124b-4ec0-b3ac-02b973d1e58b',N'147.231.25.152',N'00:19:BB:31:C5:60',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias152',N'swR052',N'2',NULL,NULL
N'e82e590d-d44d-4f45-8f1a-499f64d65f46',N'                                    ',N'8f62518a-ed0a-4c39-a17c-5ed1971614c6',N'147.231.25.24',N'00:30:6e:2c:63:3a',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias24',N'sw009',N'H15',NULL,NULL
N'ea041b53-148f-472b-abb3-cbb4df047739',NULL,N'c74074e9-2495-4329-9d72-2fdceec18c6c',N'172.16.1.25',N'00:30:48:C6:49:6C',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'salix25',N'swL051',N'25',NULL,NULL
N'ebe7c0ed-9b3c-4a82-a629-8368ab7c4045',NULL,N'5a73fe7e-d8ca-482a-873e-30a2b365f3d8',N'172.16.6.7',N'E4:1F:13:22:7E:AE',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis07',N'swL111',N'7',NULL,NULL
N'ec3dbf9c-088a-41b0-9cfe-b1ed9d251d46',NULL,N'9727c659-4369-449a-a530-8240f1dccd7b',N'147.231.26.54',N'00:14:C2:61:71:F3',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'samson.fzu.cz',N'sw253',N'4/21',NULL,NULL
N'ec475abf-bd76-4736-9081-e755764c79b8',NULL,N'00df65d7-8d4e-4f9c-92d5-da0942945095',N'147.231.25.235',N'00:23:7D:34:22:FA',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ha1',N'swL071',N'22',NULL,NULL
N'ec57e831-5922-4384-9cd7-1796c4f30d2e',N'                                    ',N'01e41038-8275-44b2-9d9b-294998430ec5',N'147.231.25.124',N'00:18:FE:31:91:9A',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias124',N'swL082',N'15',NULL,NULL
N'ec85a2a2-e473-4f8c-b97a-7e29c62e579f',N'                                    ',N'd4c2c155-bca6-453b-a579-f5012c3cdb1d',N'147.231.25.12',N'00:30:6e:2c:6b:68',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias12',N'sw013',N'12',NULL,NULL
N'ed392db7-73c3-4fa2-8d11-b801f2732904',NULL,N'ab2ec5c2-85ef-44c7-a4fa-68b9fd68dbbe',NULL,N'00:00:00:00:00:00',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'SB 02-2',NULL,NULL,NULL,NULL
