InterfaceUID,InterfaceParentInterfaceUID,InterfaceMachineUID,InterfaceIP,InterfaceMAC,InterfaceNetworkUID,InterfaceDNSName,InterfaceSwitchNumber,InterfaceSwitchPosition,InterfaceNote,InterfacePreffered
N'6b453957-2d6b-4cd2-b166-cf42efd6f126',N'                                    ',N'd21d63be-392d-4564-be77-91bae8997e42',N'147.231.25.14',N'00:30:6e:2c:63:50',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias14',N'sw013',N'14',NULL,NULL
N'6c5d70d5-4a99-431d-a784-010a5e4af266',NULL,N'f2d3970d-d3bd-475b-9501-4ad31503fc33',N'147.231.25.222',N'00:30:05:C4:11:4C',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'storage2',N'sw253',N'4/9',NULL,NULL
N'6cf7cdf5-1a72-4438-88b4-9f704ca4ba2f',NULL,N'd4b0159d-b2fd-48cf-b348-1b74f3a994e2',N'172.16.2.10',N'00:1F:C6:D9:4D:FC',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis10',N'swL101',N'10',NULL,NULL
N'6d86f275-7b56-4f09-a583-85488ea87ae5',NULL,N'a69a3946-8b94-44e2-b3f9-7474b85d4df2',N'172.16.5.16',N'00:30:48:C9:9F:7C',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'saltix16',N'swL052',N'9',NULL,NULL
N'6dd81cf9-dfef-47cc-ae1a-03b9794dac4f',N'                                    ',N'384bfcd8-e622-46a2-9bb3-84508a7899cc',N'147.231.25.153',N'00:19:BB:32:FB:6E',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias153',N'swR052',N'3',NULL,NULL
N'6e077c35-b75a-43ac-8f94-86c89aa98cae',N'                                    ',N'df0b9eb2-5e0d-459f-a93e-b993cdad975e',N'147.231.25.147',N'00:1B:78:DF:6B:2C',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'golias147',N'swR051',N'3',NULL,NULL
N'702d5381-b427-4171-9697-8e4d9e9e2a42',NULL,N'c8968309-98d3-49cb-9fd7-b34f92fcb9e9',N'172.16.2.5',N'00:1F:C6:D9:46:60',N'6d31f21c-ceaf-4c22-9269-1730cd686456',N'iberis05',N'swL101',N'5',NULL,NULL
N'7078e852-fec9-4f1d-9fa0-ef7876ea6799',N'                                    ',N'ef59d91b-09fd-47ae-85b9-7a05ab5b9188',N'147.231.25.237',N'00:23:7D:35:1D:58',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ha3',N'swR071',N'17',NULL,NULL
N'70b34fde-36d4-4e77-b6c7-656bee4188f7',NULL,N'c23b736e-691e-4edc-92ac-ef799b1123e0',N'172.16.6.16',N'E4:1F:13:22:7B:A8',N'27f66a81-e61b-4bb3-ab0f-f290217646a0',N'ibis16',N'swL111',N'16',NULL,NULL
N'70fdac73-e58e-42fe-9c84-83a018b6192e',NULL,N'bae91f5e-04c1-4e3c-864e-b65aa5752ba1',N'147.231.27.84',N'00:23:7D:3B:07:3C',N'0dbc6c7f-99f8-4ca5-ae69-968c6655d996',N'orion-u.fzu.cz',NULL,NULL,NULL,NULL
