HardwareUID,HardwareVendorUID,HardwareVendorID,HardwareTypeDescription,HardwareCPUDescription,HardwareCPUCount,HardwareCPUCoreCount,HardwareCPUHT,HardwareCPUPerformance,HardwareRAMSize,HardwareHDDSize,HardwareHDDDescription,HardwareWeight,HardwareHeight,HardwareWidth,HardwarePower,HardwareNote,HardwareImageName
N'cd4922a4-2bf8-4e70-94b8-18c268c34cef',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'BL460c',N'Intel Xeon 5420',2,4,NULL,64,16,300,N'SAS',NULL,4,12,NULL,N'SAS',N'bladec\bl460c'
N'd52bff7a-56b1-4ebe-9838-f6a0ad639e5b',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'DL 360 G4p',NULL,NULL,NULL,NULL,NULL,NULL,NULL,N'SCSI',NULL,1,100,193,N'SCSI',NULL
N'd74cd650-dcab-4f8b-b81d-f4d12d1a0844',N'b34a4817-3ed8-484d-864c-031720a37038',NULL,N'EasySTOR 1400RP',NULL,NULL,NULL,NULL,NULL,NULL,3500,N'IDE',24,3,100,298,N'IDE',NULL
N'd9bce8e1-f070-4691-ac51-9b53bb8b0595',N'20a131ef-48b9-4c6c-b862-26d4341ce598',NULL,N'iDataPlex dx340',N'Intel Xeon 5440',2,4,NULL,70,16,300,N'SAS',NULL,1,50,300,N'SAS',N'idataplex\dx340'
N'dc280551-7cb4-4656-884f-68ebefaf41b7',N'dd379473-4bac-4cde-986b-d242f372c3a0',NULL,N'Hummingbird',N'Atom D510',1,2,1,NULL,4,2000,N'4x SATA',NULL,1,100,70,N'4x SATA',NULL
N'dfdd8a41-a34a-4efb-be5f-3ba498e5a709',N'b895a521-2bef-48b9-b100-6c1e5aab3d40',NULL,N'SunFire V65x',N'Intel Xeon 3GHz',2,2,NULL,NULL,6,72,N'SCSI',25,2,100,500,N'SCSI',NULL
N'e150c32a-5a81-459d-97e1-520595ecd099',N'cf233673-c8fc-467a-863d-e8d41d33890b',NULL,N'Ultamus 1200',NULL,NULL,NULL,NULL,NULL,NULL,12000,N'SATA',NULL,4,100,NULL,N'SATA',NULL
N'ecbeeee3-d287-449d-8024-1645680ba663',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'ProLiant DL380',N'Intel Xeon 2.2 GHz',1,4,1,NULL,6,NULL,N'SAS',NULL,2,100,286,N'SAS',NULL
N'ee3d600b-fe7e-49df-b430-495d0140329f',N'cf233673-c8fc-467a-863d-e8d41d33890b',NULL,N'Ultamus 4800',NULL,NULL,NULL,NULL,NULL,NULL,96000,N'SATA',NULL,4,100,NULL,N'SATA',NULL
N'F677ADA4-4D76-40fd-862A-C254D99817DD',N'335d83bd-0ff0-488c-8c31-66dbdd5cd51d',NULL,N'BL35p',N'AMD Opteron 275',2,2,NULL,25,8,40,N'ATA',10,3,12,150,N'ATA',N'bladep\bl35p'
N'ff34ae3f-9061-4b17-aaad-057fe8646bde',N'00000000-0000-0000-0000-000000000001',NULL,N'SUPERMICRO',N'Intel Xeon 2.8GHz',2,NULL,1,NULL,2,4000,N'SATA',40,3,100,760,N'SATA',NULL
